1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Class
0.097199,1434.5,0.92114,0.4647,0.081006,1731.4,0.9038,0.37369,0.12973,229.52,0.1038,0.60338,0.10599,569.23,0.078397,0.5285,0.16217,647.41,0.025368,0.59097,0
0.19152,1089.2,0.94263,0.57102,0.16469,1582,0.9264,0.47722,0.19322,313.32,0.15602,0.62866,0.18824,320.76,0.14947,0.642,0.23813,899.1,0.045714,0.68308,0
0.046736,1299.5,0.91344,0.40187,0.032913,1662,0.88341,0.30105,0.056754,430.71,0.11159,0.49093,0.053793,299.23,0.16022,0.47891,0.061402,721.45,0.028227,0.47292,0
0.020154,1374.9,0.8833,0.35301,0.012087,1515,0.86258,0.24302,0.050657,257.46,0.090632,0.51245,0.03314,590.98,0.11046,0.42283,0.078814,490.19,0.040761,0.48056,0
0.15918,1128.9,0.94519,0.54249,0.13556,1554.1,0.92742,0.45982,0.15958,330.03,0.10631,0.60293,0.16635,293.07,0.10534,0.60962,0.32523,637.3,0.10243,0.71951,0
0.10939,1218,0.93837,0.49768,0.089281,1484.6,0.92333,0.40625,0.1173,301.17,0.11572,0.53707,0.12533,384.71,0.1121,0.59444,0.12059,803.26,0.0023163,0.55186,0
0.02976,1476.4,0.89705,0.37823,0.016509,1686.5,0.86832,0.26275,0.033095,357.65,0.14318,0.44515,0.035459,628.68,0.12614,0.42981,0.07178,667.79,0.019237,0.48122,0
0.17217,1157.8,0.9454,0.54525,0.1501,1325,0.93704,0.47202,0.17179,336.32,0.12452,0.57479,0.16541,369.67,0.12057,0.57746,0.20843,904.06,-0.021764,0.6157,0
0.12972,1113.6,0.9408,0.50831,0.1111,1366.7,0.92581,0.4127,0.14015,284.41,0.12848,0.62277,0.13016,493.53,0.12757,0.5558,0.18913,813.59,0.022102,0.60535,0
0.046277,1395,0.90856,0.39236,0.031987,1619.7,0.88463,0.2851,0.05383,621.83,0.122,0.49939,0.051552,277.06,0.10889,0.46015,0.064982,595.61,0.0059004,0.49255,0
0.10999,969.66,0.94395,0.48932,0.086116,1227.7,0.92729,0.38908,0.12406,384.69,0.070551,0.54999,0.11535,257.36,0.099002,0.56557,0.15175,859,-0.019314,0.62432,0
0.17875,1217.3,0.94198,0.56083,0.15802,1755.4,0.9193,0.48001,0.19055,295.88,0.12703,0.63005,0.18688,264.79,0.10687,0.62987,0.21295,844.59,0.052054,0.65932,0
0.029232,1466.9,0.89384,0.37886,0.017573,1644.4,0.87105,0.26484,0.070396,234.29,0.094015,0.52362,0.037502,711.63,0.14931,0.45059,0.047737,632.09,0.0075376,0.44865,0
0.13844,914.01,0.94766,0.51783,0.11578,1185.6,0.93179,0.42498,0.14167,361.21,0.07772,0.57973,0.13539,268.9,0.074371,0.57936,0.17645,724.1,0.019226,0.62958,0
0.027721,1516.9,0.88758,0.37761,0.017109,1824.4,0.85156,0.2628,0.073023,246.54,0.073783,0.50603,0.045126,560.57,0.13083,0.47458,0.087771,559.19,0.022716,0.55945,0
0.047411,1273.1,0.91611,0.39386,0.032312,1401.1,0.90247,0.28822,0.046492,251.3,0.11439,0.46223,0.047332,655.99,0.1378,0.45234,0.10733,784.1,-0.041306,0.52165,0
